Geneid	Chr	Start	End	Strand	Length	SRR5364307.sorted.sorted.bam	SRR5364314.sorted.sorted.bam	SRR5364310.sorted.sorted.bam	SRR5364311.sorted.sorted.bam	SRR5364309.sorted.sorted.bam	SRR5364312.sorted.sorted.bam	SRR5364308.sorted.sorted.bam	SRR5364304.sorted.sorted.bam	SRR5364313.sorted.sorted.bam	SRR5364305.sorted.sorted.bam	SRR5364303.sorted.sorted.bam	SRR5364306.sorted.sorted.bam
NM_178539	chr12	61708247	62192839	-	484593	98	504	97	187	107	68	81	85	567	97	92	67
NM_020700	chr12	62643993	62935150	-	291158	3602	5296	4332	4524	4015	3119	3464	4032	4580	3987	3747	3667
NM_020762	chr12	63844699	64162217	+	317519	21	47	36	36	21	25	23	16	51	20	13	22
NM_198080	chr12	65278682	65466907	+	188226	5	121	3	21	10	8	7	4	195	5	6	5
NM_021150	chr12	66347430	66679076	-	331647	76	112	72	109	92	45	76	83	128	93	86	52
NM_002849	chr12	70638079	70920738	-	282660	603	691	788	791	640	618	552	999	666	725	814	754
NM_013381	chr12	72272748	72665642	+	392895	50	48	46	56	45	33	40	37	50	37	43	34
NM_020841	chr12	76351797	76559771	-	207975	4263	5014	5232	6351	5271	3983	4406	4412	4655	4621	3641	4136
NM_014903	chr12	77830893	78213010	+	382118	3	3	4	3	0	1	4	2	5	2	0	1
NM_001135806	chr12	79045691	79452008	+	406318	14	18	8	21	22	10	17	26	31	21	14	21
NM_001145026	chr12	80444234	80680273	+	236040	2	5	3	1	2	3	2	3	1	2	0	1
NM_024560	chr12	81078078	81261210	+	183133	1	0	0	1	1	0	1	1	2	1	0	1
NM_152588	chr12	82686905	83134865	+	447961	89	75	103	120	108	80	88	96	72	96	87	92
NM_001079910	chr12	85036350	85245105	+	208756	3	4	6	4	4	2	4	4	2	8	2	3
NM_013244	chr12	85955667	86839000	-	883334	8	5	2	8	3	4	2	4	9	3	4	1
NM_001306084	chr12	96489576	96875555	+	385980	47	118	60	93	78	86	43	41	162	38	31	36
NM_152788	chr12	98734790	99984654	-	1249865	38	146	51	61	50	35	52	46	154	33	31	45
NM_178040	chr12	991222	1495931	+	504710	3030	4716	3597	4403	3598	2706	3028	3054	4249	3127	2759	2963
NM_001178004	chr13	100089014	100530437	+	441424	2291	2301	2705	2803	2498	1867	2131	2399	1796	2416	2056	2175
NM_052867	chr13	101053775	101416508	-	362734	1	1	1	4	1	1	1	2	3	1	5	4
NM_001271756	chr13	101489951	101716446	+	226496	43	70	57	67	58	39	39	43	50	45	41	51
NM_001321934	chr13	101720854	102310686	-	589833	1	16	7	5	3	4	0	6	12	5	7	6
NM_001080396	chr13	107163510	107867496	-	703987	575	870	815	820	724	621	492	748	811	622	637	592
NM_001198950	chr13	108629610	109208005	+	578396	2941	3033	3301	4072	3432	2446	2945	3541	2565	3279	3029	3188
NM_001846	chr13	110307283	110513209	+	205927	49	125	70	69	61	59	26	64	124	59	85	30
NM_032189	chr13	112690328	112887168	+	196841	2955	5426	4109	3688	3347	2919	2733	3152	4282	3176	3162	2682
NM_001313741	chr13	25468773	26025851	+	557079	34	78	32	48	19	31	38	45	68	34	36	38
NM_023037	chr13	32031773	32299125	+	267353	15	55	16	21	11	15	8	12	80	5	6	8
NM_015032	chr13	32586451	32778019	+	191569	2397	2971	2994	3643	2926	2158	2486	2340	2684	2409	2043	2376
NM_015678	chr13	34942286	35672736	+	730451	34	63	29	40	53	30	32	37	69	33	36	37
NM_016179	chr13	37632062	37870425	-	238364	5	60	10	20	14	11	11	14	43	8	2	8
NM_207361	chr13	38687076	38887130	+	200055	2	1	1	3	0	2	1	2	4	1	1	1
NM_005780	chr13	39342891	39603193	-	260303	0	4	3	1	0	4	2	1	1	1	2	1
NM_001009814	chr13	41719336	41961085	-	241750	2878	2849	2902	3447	3053	2004	2722	3226	2415	3233	2828	2788
NM_001204504	chr13	42040035	42242897	+	202863	1617	2409	2140	2546	2064	1905	1530	1675	2115	1662	1418	1578
NM_001127615	chr13	43213132	43629477	-	416346	0	1	2	3	6	1	2	4	4	2	2	3
NM_001164213	chr13	46553169	46753040	+	199872	1991	1821	2299	2329	2133	1595	1911	2132	1528	2206	1954	1984
NM_052950	chr13	51584461	51767709	+	183249	2036	2741	2212	2603	2274	1613	1673	1862	2438	2139	1724	1875
NM_001258369	chr13	59774162	60163985	-	389824	4713	8018	5176	7058	5413	3924	4308	4392	7843	4889	4117	4230
NM_020866	chr13	69700596	70108452	-	407857	1	2	0	2	1	1	6	2	0	4	2	2
NM_080760	chr13	71437965	71867192	-	429228	22	56	31	53	29	30	23	33	51	32	25	25
NM_006346	chr13	72782132	73016459	+	234328	3049	3020	3488	4305	3700	2529	3063	3270	2726	3459	2667	3116
NM_007249	chr13	73686011	74133929	-	447919	5	8	5	10	9	5	8	6	6	7	6	6
NM_014832	chr13	75283502	75482169	-	198668	911	910	998	988	968	637	975	981	927	945	899	966
NM_005358	chr13	75620433	75859871	+	239439	336	366	392	421	366	255	375	425	286	455	354	353
NM_015057	chr13	77044656	77327094	-	282439	2761	3007	3056	3348	3157	2145	2755	3006	2622	2884	2518	2717
NM_004466	chr13	91398620	92867234	+	1468615	1122	1679	1259	1590	1207	1017	1295	1414	1348	1200	1030	1310
NM_005708	chr13	93226806	94408019	+	1181214	85	226	85	154	106	98	70	74	288	88	100	66
NM_001301830	chr13	95095770	95301451	-	205682	3887	4815	5139	4582	4259	3399	3728	4332	3751	4294	4056	4013
NM_020121	chr13	95801580	96053401	-	251822	3041	2657	3248	3836	3403	2264	2925	3407	2484	3479	3089	3049
NM_153456	chr13	96090838	96839562	+	748725	6	16	7	21	14	10	9	7	11	3	12	3
NM_001286839	chr13	98142588	98455172	+	312585	11	57	20	30	25	14	11	17	70	5	12	16
NM_001130048	chr13	98793428	98978064	-	184637	1522	2341	1817	2038	1710	1255	1514	1625	1947	1662	1466	1516
NM_177967	chr13	99200853	99386503	+	185651	3570	2747	4431	4093	3973	2998	3691	4271	2065	3962	3621	3758
NM_206808	chr13	99606663	99892764	+	286102	1343	1015	1385	1315	1337	961	999	1399	800	1379	1342	1228
NM_001304476	chr14	24809654	25050297	-	240644	83	193	67	108	64	47	51	70	193	78	82	66
NM_002742	chr14	29576480	29927847	-	351368	57	276	70	103	68	85	36	39	280	54	44	39
NM_025152	chr14	31561403	31861223	+	299821	1199	1361	1383	1683	1373	963	1137	1247	1202	1271	1141	1081
NM_004274	chr14	32329297	32837683	+	508387	132	181	137	176	155	102	109	128	193	143	164	114
NM_173159	chr14	32938878	33804173	+	865296	16	36	21	36	22	13	9	24	52	21	33	24
NM_194301	chr14	35538355	35809295	-	270941	1444	1714	1500	1933	1615	1236	1259	1372	1523	1441	1287	1228
NM_030631	chr14	36677920	37172606	-	494687	7126	10605	7385	10139	8268	5409	6257	6945	9732	7652	6718	6137
NM_001195297	chr14	37197912	37551259	+	353348	2314	4286	2611	3658	2869	2121	2244	2346	3815	2483	2030	2121
NM_001310135	chr14	37595628	37842696	+	247069	54	130	101	109	72	71	84	70	145	67	56	61
NM_152447	chr14	41606855	41904551	+	297697	24	32	25	35	32	19	22	18	31	47	28	29
NM_182830	chr14	46839624	47343246	-	503623	21	6	21	17	24	14	9	13	13	18	12	23
NM_021255	chr14	56118410	56301524	+	183115	162	2334	316	511	284	357	165	442	1903	176	355	160
NM_001206920	chr14	57563921	57865874	-	301954	4	5	3	3	3	0	2	5	6	4	3	4
NM_001270520	chr14	59188666	59371403	+	182738	1214	1651	1576	1942	1546	1166	1080	1003	1364	1167	956	1020
NM_002431	chr14	60734760	60969964	+	235205	1642	4074	2112	3093	2144	1726	1582	1849	3672	1811	1579	1571
NM_006255	chr14	61321442	61550980	+	229539	500	498	670	674	551	441	467	528	418	519	518	508
NM_172375	chr14	62699463	63045458	-	345996	547	632	550	804	594	435	575	654	630	680	611	583
NM_182914	chr14	63852964	64226451	+	373488	36	113	53	95	47	54	36	35	151	42	27	36
NM_178156	chr14	65410591	65744121	+	333531	1194	2308	1399	1823	1482	1157	1078	1161	2237	1252	986	1109
NM_020806	chr14	66507406	67181808	+	674403	3340	4735	4002	4963	4259	2935	3764	4011	4291	3761	3296	3605
NM_001321819	chr14	67819778	68471676	+	651899	2944	3513	3139	4099	3300	2260	2583	3005	3293	3152	2772	2654
NM_014982	chr14	70907458	71115382	+	207925	453	848	532	777	532	479	458	502	843	567	420	448
NM_015556	chr14	71320475	71741209	+	420735	3184	3811	3948	4124	3616	2748	2936	3159	3337	3245	2879	2944
NM_004296	chr14	71933221	72566530	+	633310	9	24	16	18	7	6	8	9	27	17	6	5
NM_012074	chr14	72661049	72894101	-	233053	651	1761	860	997	773	609	561	629	1371	696	635	555
NM_003744	chr14	73275209	73458580	-	183372	2875	2927	3675	4256	3396	2684	2603	2757	2721	3104	2327	2658
NM_015072	chr14	75661245	75955079	+	293835	2069	2746	2709	3422	2592	2105	2163	2086	2699	2158	1825	2009
NM_138970	chr14	79279379	79868291	+	588913	9	5	16	10	10	20	4	11	9	6	5	4
NM_152446	chr14	80496478	80941738	-	445261	1821	2421	2005	2479	2096	1352	1634	1741	2278	1884	1532	1610
NM_000369	chr14	80955620	81146306	+	190687	18	41	19	31	20	11	11	27	52	12	19	15
NM_183387	chr14	88612430	88792953	-	180524	116	271	125	225	130	118	85	75	265	86	85	66
NM_005197	chr14	89156179	89417233	-	261055	187	422	199	272	213	183	147	158	402	164	146	170
NM_001010854	chr14	90524563	90816430	-	291868	5104	3699	6578	5660	5392	4233	4686	5942	3220	5481	5149	5253
NM_024490	chr15	25678712	25863202	-	184491	9	18	9	18	8	21	8	6	49	3	3	6
NM_033223	chr15	26971180	27541983	+	570804	5265	5144	6043	6080	5832	4222	5365	6073	3685	6105	5414	5645
NM_001243996	chr15	33310966	33866121	+	555156	5	22	9	13	5	7	5	8	33	4	10	4
NM_001220482	chr15	36889205	37101311	-	212107	6053	9026	7473	10012	7571	5691	5808	5960	9245	6058	4982	5613
NM_152597	chr15	39600030	39782841	-	182812	179	309	235	305	200	195	113	131	337	160	143	150
NM_173500	chr15	42738729	42920778	-	182050	1743	2784	2458	3301	2295	2000	1487	1463	2808	1753	1340	1388
NM_001286490	chr15	43870763	44194446	-	323684	7	29	16	21	14	15	7	15	36	8	8	14
NM_001198999	chr15	47184088	47774221	+	590134	1	3	7	2	6	4	2	0	9	2	3	1
NM_000138	chr15	48408305	48645788	-	237484	331	311	341	320	305	229	346	385	200	368	290	355
NM_001330293	chr15	49422399	49620818	-	198420	730	1302	853	1360	953	757	647	600	1376	738	538	664
NM_024837	chr15	49858237	50119222	-	260986	83	273	107	148	110	70	97	96	323	82	97	98
NM_000259	chr15	52307283	52529050	-	221768	60	191	92	106	78	79	61	65	145	57	60	38
NM_001080534	chr15	54012647	54628608	+	615962	5	4	3	4	5	2	6	5	3	5	13	6
NM_004998	chr15	59132433	59372871	-	240439	2	21	11	4	3	6	0	2	13	4	5	2
NM_020821	chr15	61852390	62060447	-	208058	2164	2190	2311	2684	2331	1609	2185	2454	1897	2326	2078	2155
NM_015059	chr15	62647310	62844630	+	197321	47	106	40	60	34	32	39	42	179	40	48	40
NM_003922	chr15	63608617	63833948	-	225332	6915	7858	8318	8825	7738	5568	6873	7707	6573	7744	6627	6839
NM_022048	chr15	64165524	64356173	-	190650	3095	4838	4524	5708	4364	3406	2969	3028	4428	3256	2648	2770
NM_015042	chr15	64499419	64686067	+	186649	4669	8424	5558	8076	5700	4793	4012	5058	6696	5414	5036	4508
NM_145160	chr15	67542702	67807114	+	264413	3195	4617	3459	4505	3787	2887	2891	3071	3947	3357	3007	2946
NM_001284357	chr15	70853238	71050097	+	196860	5	8	6	14	5	6	3	2	14	8	6	5
NM_024817	chr15	71141448	71783383	+	641936	46	84	36	69	59	30	32	29	98	57	56	24
NM_006901	chr15	71822290	72118150	-	295861	1791	1666	1992	2345	2051	1578	1832	1988	1216	2004	1632	1856
NM_001172624	chr15	73052483	73305206	+	252724	75	107	87	98	71	65	67	79	97	51	68	63
NM_020843	chr15	76347903	76905340	-	557438	1461	1807	1915	2145	1732	1402	1502	1450	1586	1650	1282	1379
NM_024776	chr15	77100653	77420104	-	319452	4212	7260	5222	6821	5223	3855	4056	3960	7144	4264	3403	3790
NM_014862	chr15	80404381	80597933	+	193553	3	13	2	5	2	6	5	4	12	1	6	1
NM_207517	chr15	83654122	84039841	+	385720	34	48	50	52	28	39	45	49	36	31	46	37
NM_007200	chr15	85380602	85749355	+	368754	106	111	98	121	97	77	79	100	110	90	86	87
NM_152336	chr15	86079619	87029052	+	949434	11	10	12	13	8	14	9	19	13	9	6	12
NM_001320134	chr15	87977364	88256169	-	278806	7	12	5	14	6	3	3	8	22	9	11	3
NM_014848	chr15	91100256	91302565	+	202310	11	18	5	24	12	5	3	21	21	9	14	7
NM_001145044	chr15	91853707	92172435	+	318729	22	50	18	28	20	23	19	17	36	19	17	8
NM_018349	chr15	94298200	94483952	+	185753	1	1	3	0	2	1	1	0	5	1	2	0
NM_001291858	chr15	98648538	98964530	+	315993	770	1219	1004	892	803	708	700	814	1019	756	689	759
NM_139057	chr15	99971436	100341975	-	370540	16	97	28	44	23	27	26	22	112	20	18	21
NM_015226	chr16	10944563	11182186	+	237624	3538	5287	4917	4730	3956	3373	3122	3621	4309	3732	3468	3362
NM_032167	chr16	11976733	12574287	+	597555	4383	6440	6041	5632	4728	4184	4003	4835	5415	4947	4530	4460
NM_001145204	chr16	12901597	13240416	+	338820	3	6	7	5	1	3	3	5	7	3	3	4
NM_001308142	chr16	14071313	14266779	+	195467	2084	1125	2123	2030	2028	1293	2112	2480	780	2414	2170	2177
NM_017539	chr16	20933110	21159441	-	226332	147	1597	203	389	185	244	85	158	2058	132	136	115
NM_212535	chr16	23835982	24220611	+	384630	21981	33030	25983	23765	22544	17726	21968	28255	20935	25322	24679	24268
NM_006040	chr16	25691958	26137685	+	445728	9	15	5	15	7	7	7	8	31	7	3	7
NM_015202	chr16	27550143	27780369	+	230227	2298	3085	3130	3142	2621	2325	2089	2542	2631	2420	2321	2197
NM_001323901	chr16	27787527	28063714	-	276188	18	92	41	34	19	17	14	20	43	18	16	14
NM_001305002	chr16	47154387	47461274	-	306888	5320	5637	6126	7358	6309	4368	5389	6126	4847	5921	5011	5269
NM_001031835	chr16	47461330	47701523	+	240194	7806	6998	8831	9767	8448	5745	7432	8481	6262	8499	7600	7386
NM_001271620	chr16	49487530	49857919	-	370390	16	46	17	25	19	26	12	13	65	14	14	11
NM_001352127	chr16	53131011	53329150	+	198140	6974	7144	7640	10344	8741	5873	7055	7331	6162	7524	6409	6668
NM_001080432	chr16	53704155	54121941	+	417787	2136	2586	2471	2813	2362	1789	2049	2394	2390	2345	2121	2130
NM_001796	chr16	61647250	62036438	-	389189	7	6	6	4	5	6	4	6	6	3	8	1
NM_024562	chr16	68843530	69085182	+	241653	2215	2124	2669	2739	2476	1874	2096	2777	1873	2504	2486	2344
NM_001270974	chr16	70802083	71230722	-	428640	15	94	27	43	25	26	19	71	100	16	47	14
NM_001164766	chr16	72782886	73059021	-	276136	10	43	19	23	12	22	7	14	42	19	12	17
NM_145893	chr16	7332844	7713340	+	380497	8	18	5	6	5	8	4	2	28	6	3	3
NM_138994	chr16	76309851	76560755	+	250905	8	15	7	15	10	7	4	4	24	9	5	4
NM_020927	chr16	77788563	77980107	+	191545	7	11	7	7	6	3	4	6	9	1	5	2
NM_016373	chr16	78099653	79212667	+	1113015	3008	3461	3551	3858	3380	2619	2735	3171	3050	3424	3094	2912
NM_152342	chr16	80597906	80804598	-	206693	7	36	5	11	4	4	7	6	29	4	6	7
NM_198390	chr16	81445169	81711763	+	266595	10104	11836	12914	10196	9859	8223	8970	12049	9049	11109	11236	10370
NM_002661	chr16	81779290	81962685	+	183396	514	890	881	658	583	677	549	617	777	535	463	531
NM_001257	chr16	82626968	83800640	+	1173673	10	36	19	13	21	17	7	22	31	14	14	19
NM_013275	chr16	89267631	89490561	-	222931	13715	21018	16360	16215	14565	11984	10385	15187	17116	15460	15138	12606
NM_001134407	chr16	9753407	10182428	-	429022	6	12	6	5	5	6	9	6	22	7	5	3
NM_001173461	chr17	11241422	11564063	+	322642	3	6	5	5	1	8	2	1	5	7	4	2
NM_001372	chr17	11598469	11969748	+	371280	14	49	12	22	12	17	8	17	55	12	9	13
NM_014859	chr17	12789497	12991643	+	202147	25	49	32	39	31	34	29	34	69	36	25	21
NM_006311	chr17	16029159	16215534	-	186376	3652	4240	4494	5172	4242	3403	3321	3582	4199	3925	3163	3255
NM_015085	chr17	2796437	3037741	+	241305	24	37	29	23	24	22	11	23	56	21	31	16
NM_001282129	chr17	29625938	29930228	-	304291	3558	4074	3954	4378	3706	3046	3162	4119	3705	3863	3493	3701
NM_001042492	chr17	31094926	31377677	+	282752	5317	5246	6066	7214	6060	4085	5371	5754	4711	5834	5032	5030
NM_183377	chr17	33013087	33292988	-	279902	3	9	4	4	3	2	4	2	8	3	1	2
NM_003726	chr17	48133441	48430214	-	296774	47	55	31	75	58	34	25	36	117	46	73	29
NM_020178	chr17	51630319	52158714	-	528396	2	6	4	2	3	3	2	2	2	0	1	5
NM_178509	chr17	54968764	55173632	+	204869	2205	1770	2352	3052	2551	1708	2259	2087	1513	2204	1844	2072
NM_153228	chr17	56153474	56482646	+	329173	97	192	43	165	125	50	37	76	243	90	82	48
NM_001322251	chr17	57256522	57633183	+	376662	7191	15830	10265	10117	8369	7446	6673	7625	13664	7791	7129	6939
NM_014906	chr17	58755853	58985179	+	229327	1650	1937	1320	2145	1879	1095	1077	1574	1762	1840	1602	1198
NM_032582	chr17	60177327	60392133	-	214807	6640	7482	8376	10882	8475	6307	6396	6735	6756	7139	5839	6167
NM_017679	chr17	60677850	61392831	+	714982	1622	1894	1441	2186	1722	1156	1122	1384	2073	1745	1627	1191
NM_032043	chr17	61679185	61863559	-	184375	4503	3939	5148	6576	5349	3843	3925	4495	3438	4595	3936	4085
NM_025185	chr17	62966234	63427701	+	461468	2014	3432	2216	2793	2387	1668	1900	1987	3237	2186	1906	1758
NM_001353129	chr17	65635536	66192133	-	556598	20	52	18	29	16	19	10	21	62	13	19	15
NM_002737	chr17	66302612	66810743	+	508132	8910	32495	13143	16173	11449	11003	9201	10673	29852	9928	9047	9776
NM_181671	chr17	67377280	67697256	+	319977	102	533	177	189	155	164	117	88	624	107	95	101
NM_139177	chr17	72645948	73092688	-	446741	3282	2564	4188	3593	3410	2748	3140	4014	2102	3673	3538	3512
NM_001144952	chr17	73334383	73644445	-	310063	21	129	32	66	26	34	18	21	159	18	37	19
NM_006640	chr17	77319514	77500596	+	181083	3350	5060	4856	3511	3437	3501	3163	4393	3704	3941	4216	3814
NM_001082575	chr17	79089344	79516148	-	426805	7	106	13	33	11	24	4	9	144	13	8	6
NM_020761	chr17	80544837	80966368	+	421532	9779	9907	12270	11058	10552	8139	8592	10786	7638	11087	10953	9529
NM_005993	chr17	82752064	82945914	+	193851	3426	2126	5053	3273	3586	3047	3492	4181	1372	4016	4032	3774
NM_004822	chr17	9021509	9244000	+	222492	13	43	19	25	14	25	18	8	72	16	13	12
NM_004853	chr17	9250470	9575820	-	325351	591	478	591	636	569	431	517	693	346	660	610	581
NM_001256299	chr17_GL000258v2_alt	952321	1168458	-	216138	0	0	0	0	0	0	0	0	0	0	0	0
NM_022068	chr18	10670246	11148762	-	478517	32	80	31	60	32	41	27	39	79	29	37	40
NM_020148	chr18	12446511	12658107	-	211597	2043	3605	2778	3389	2639	2245	2031	1974	3240	2168	1756	1845
NM_181481	chr18	13278104	13652754	+	374651	6	26	10	13	11	10	13	8	15	8	15	5
NM_001142966	chr18	21242241	21526112	+	283872	10	29	15	25	14	20	12	25	33	16	24	6
NM_198129	chr18	23689452	23956222	+	266771	2	27	13	17	11	11	5	4	55	4	5	7
NM_015461	chr18	25061923	25352166	-	290244	580	721	617	756	596	467	526	685	704	657	549	626
NM_031422	chr18	26906480	27185308	-	278829	0	2	0	3	4	1	1	2	1	1	4	1
NM_001792	chr18	27950965	28177130	-	226166	1	0	1	2	1	1	1	1	0	2	2	0
NM_130386	chr18	316736	500701	-	183966	1	50	4	8	8	12	3	8	58	0	0	2
NM_022751	chr18	32263521	32470882	-	207362	81	126	104	125	83	88	87	83	122	73	42	60
NM_198995	chr18	32937405	33440740	-	503336	17	25	31	15	26	31	20	24	41	29	18	22
NM_001282527	chr18	33851099	34222470	-	371372	4	1	3	3	1	1	2	1	3	4	2	0
NM_001242765	chr18	3502144	3845358	-	343215	2253	4859	2741	4050	2805	2622	1615	3351	5379	2150	3264	1915
NM_025135	chr18	36297712	36780220	+	482509	16	90	11	19	6	14	11	12	104	9	12	7
NM_020776	chr18	36829126	37225334	+	396209	2001	2268	2192	2622	2207	1608	1925	1965	2015	2146	1777	1934
NM_001353758	chr18	37243044	37485792	-	242749	8	25	11	19	7	19	6	13	30	9	9	8
NM_002930	chr18	42743226	43115685	-	372460	2	2	0	1	0	2	4	1	3	1	2	2
NM_015559	chr18	44680887	45068510	+	387624	43	81	56	61	38	42	40	64	77	42	48	44
NM_001242692	chr18	45212994	45683688	+	470695	12	38	11	33	16	21	6	27	70	30	29	12
NM_001318841	chr18	48026671	48409383	-	382713	12	36	14	18	12	16	8	10	65	9	12	11
NM_017653	chr18	49041473	49460645	-	419173	2862	3891	3256	3911	3254	2349	2728	3124	3524	3298	2778	2858
NM_001080467	chr18	49822789	50195147	-	372359	48	355	87	138	58	82	50	55	386	49	60	43
NM_005215	chr18	52340196	53535898	+	1195703	8	9	12	5	11	9	6	10	9	13	6	8
NM_052834	chr18	56651384	57029805	+	378422	1561	2064	1671	2132	1660	1210	1494	1525	1822	1740	1426	1419
NM_133459	chr18	59430938	59697423	-	266486	1	8	0	6	3	6	3	4	14	4	6	1
NM_173464	chr18	5954705	6414911	-	460207	2	2	4	5	2	5	4	2	7	1	3	0
NM_031891	chr18	61333429	61555777	+	222349	2	3	0	2	0	2	0	1	1	1	4	4
NM_194449	chr18	62715540	62980433	+	264894	2272	3627	2869	3656	2756	2124	2084	2124	3353	2349	2021	2020
NM_024781	chr18	68798079	69055189	+	257111	13	53	9	19	14	15	10	11	47	16	10	14
NM_152721	chr18	69400887	69849086	+	448200	7	35	13	23	11	13	9	15	28	7	6	10
NM_173630	chr18	70003052	70205687	-	202636	1758	1919	1980	2256	1841	1437	1650	1790	1813	1824	1531	1650
NM_017757	chr18	74630962	75065672	+	434711	1925	1644	2211	2528	2114	1422	2030	2203	1408	2179	1859	2001
NM_002845	chr18	7567315	8406861	+	839547	42	139	36	64	36	61	30	47	184	27	35	30
NM_198531	chr18	79069393	79378282	+	308890	2865	3619	3716	4013	3340	2664	2765	2796	3054	3022	2620	2631
NM_001127221	chr19	13206442	13506460	-	300019	33	142	52	64	40	59	19	59	178	39	39	24
NM_052847	chr19	2511218	2702694	-	191477	115	727	178	234	170	257	82	124	825	124	118	133
NM_014717	chr19	30372383	30558059	+	185677	4	5	0	6	5	0	2	0	11	2	3	5
NM_015073	chr19	37907207	38208368	+	301162	1375	1384	1705	1505	1448	1365	1128	1484	1184	1459	1375	1348
NM_015015	chr19	4969112	5153597	+	184486	3440	3475	5406	3485	3713	3994	3243	3962	2514	3738	3828	3770
NM_001079817	chr19	7112264	7294414	-	182151	133	375	195	222	161	172	109	114	434	152	129	113
NM_145686	chr2	101697702	101894690	+	196989	3936	3730	4887	4676	4189	3107	3936	4138	3177	4150	3930	3708
NM_001099289	chr2	109129204	109504634	+	375431	7	39	8	10	11	10	3	4	71	7	15	4
NM_001142807	chr2	110732572	111118548	+	385977	21	42	23	24	18	25	19	24	45	17	8	26
NM_001321913	chr2	115343814	115845752	+	501939	7	4	6	1	3	2	6	3	5	8	4	1
NM_002830	chr2	119759921	119984898	+	224978	3374	2797	3187	3932	3537	2139	2989	3288	2187	3550	3137	2968
NM_005270	chr2	120792280	120992653	+	200374	15	76	18	25	18	21	9	11	83	20	19	16
NM_015282	chr2	121337775	121649462	-	311688	7440	14176	9934	12024	9066	7441	6884	6888	13226	7934	6447	6911
NM_130773	chr2	124025286	124921218	+	895933	8	16	11	12	15	6	5	5	10	7	4	7
NM_015320	chr2	130836913	131047253	+	210341	15	65	23	37	26	21	9	8	77	13	6	9
NM_001508	chr2	132416804	132646582	+	229779	2	11	3	2	2	2	3	2	9	2	2	4
NM_207481	chr2	132671789	133568463	-	896675	9	3	11	15	9	9	6	8	8	4	12	3
NM_002410	chr2	134254071	134454621	+	200551	1352	3953	1791	1683	1534	1180	1366	1451	3341	1467	1289	1383
NM_030923	chr2	134455758	134719000	-	263243	41	24	49	45	29	36	27	54	32	53	50	49
NM_032143	chr2	135196968	135531218	-	334251	3794	4738	4178	5291	4436	3120	3552	3994	4242	4044	3396	3600
NM_015361	chr2	135531483	135725269	+	193787	3848	2873	4323	4880	4357	3080	4056	4244	2309	4302	3545	3917
NM_001316349	chr2	136765544	137677718	+	912175	13	5	8	6	5	7	6	16	10	2	13	12
NM_018557	chr2	140231426	142131701	-	1900276	14	18	7	18	14	11	16	24	11	17	20	5
NM_018460	chr2	143129418	143768352	+	638935	991	938	973	1270	1044	756	978	1048	798	1049	939	934
NM_001354361	chr2	143946013	144295313	-	349301	1040	1047	1058	1186	1057	684	1026	1104	862	1174	993	1083
NM_018328	chr2	148021010	148513475	+	492466	1922	3091	2046	2998	2322	1625	1947	2096	2981	2122	1754	2009
NM_004543	chr2	151485338	151734476	-	249139	515	1103	375	645	553	296	311	397	1329	480	434	304
NM_015909	chr2	15166915	15561334	-	394420	15556	19203	15252	20721	17425	10343	12514	13752	17753	16453	14619	12520
NM_001005746	chr2	151832770	152098763	-	265994	46	118	44	50	48	32	20	39	150	43	32	42
NM_052905	chr2	152335173	152649826	+	314654	56	163	71	81	79	59	55	58	152	46	60	55
NM_001301627	chr2	153944393	154453977	+	509585	10	19	16	13	5	12	8	10	13	9	25	12
NM_003628	chr2	158456951	158682888	+	225938	7934	6309	9390	10647	9387	6504	8183	8219	5023	8688	7473	7859
NM_033394	chr2	158968639	159232659	+	264021	74	334	98	134	54	107	67	87	383	59	58	73
NM_013450	chr2	159318978	159616548	-	297571	4039	6052	4518	6276	4720	3716	3717	3630	5747	4108	3246	3526
NM_016836	chr2	160272150	160493807	-	221658	5	5	0	5	3	3	2	7	9	7	7	1
NM_022058	chr2	161624415	161985269	+	360855	1	2	2	1	1	2	3	0	1	4	0	3
NM_173162	chr2	162423246	162838767	-	415522	1	1	2	4	3	4	2	1	0	4	3	1
NM_002977	chr2	166195186	166375987	-	180802	1363	3038	1201	2379	1712	1200	1165	1375	2782	1580	1268	1073
NM_152381	chr2	166888486	167259751	+	371266	23	24	17	34	28	13	16	20	33	21	20	16
NM_013233	chr2	167954021	168247595	-	293575	109	272	133	161	144	119	82	103	232	129	120	104
NM_203463	chr2	168456271	168775134	+	318864	2972	6092	3894	4708	3559	2955	3241	3327	5302	3134	2687	3252
NM_004525	chr2	169127108	169362534	-	235427	28	100	28	29	23	25	17	23	113	28	19	26
NM_172070	chr2	169827507	170084129	+	256623	7119	7696	8352	9161	7759	5690	7229	7648	6381	7549	6414	6811
NM_138995	chr2	170178146	170655167	+	477022	1031	529	1159	944	892	751	1123	1752	430	1133	1311	1346
NM_016653	chr2	173075845	173268015	+	192171	5011	7607	6091	7682	6058	4790	5095	5251	6808	5411	4755	5011
NM_001025201	chr2	174799313	175005379	-	206067	210	491	246	329	223	164	208	243	528	218	191	194
NM_001077196	chr2	177623244	177888756	-	265513	624	1033	606	694	583	390	597	862	1603	766	661	666
NM_032523	chr2	178194511	178402893	+	208383	1583	9903	2310	4183	2571	2343	1429	1251	9338	1515	1173	1252
NM_133437	chr2	178525990	178807423	-	281434	3	15	3	6	1	2	3	9	5	4	14	2
